Monthly England & Wales precipitation (mm). Daily automated values used after 1996.
Wigley & Jones (J.Climatol.,1987), Gregory et al. (Int.J.Clim.,1991)
Jones & Conway (Int.J.Climatol.,1997), Alexander & Jones (ASL,2001). Values may change after QC.
YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANN
 1766   4.4  66.7  48.2  60.9 108.1 109.2 101.7  38.1  53.8  71.9  75.4  67.1  805.5
 1767  92.7 115.3  68.9  38.9  84.2  47.7 148.0  75.4  63.7 103.2  73.6  29.6  941.2
 1768 109.2 129.1  12.8  85.6  46.1 148.7 121.9  91.6 136.8 119.4 142.5 103.6 1247.3
 1769  74.7  81.1  40.4  46.0  73.5 122.8  56.9  98.8 133.5  51.3  90.8  81.1  950.9
 1770  52.7  56.6  77.8  75.5  63.8 118.1  63.0  52.6  85.8 115.8 200.8 116.9 1079.4
 1771  68.8  32.7  46.4  31.3  51.6  43.0  50.7 113.6  64.4 137.8  49.5 103.1  792.9
 1772  79.1  95.2  88.6  58.5  53.1  77.8  61.7  75.0 141.6 101.7 157.3  42.2 1031.8
 1773  68.8  72.4  19.9  54.4 151.8  65.5  37.3  83.6 141.6 112.3 125.0 101.2 1033.8
 1774 105.4 102.6  85.6  53.8  75.4  72.3  94.1  91.0 161.0  40.9  48.4  64.2  994.7
 1775  76.9  99.2  64.4  30.0  21.7  46.3 158.4 142.6 130.4 114.9  89.3  37.9 1012.0
 1776  51.6 113.5  50.5  22.4  46.4  74.9  82.9 136.1  99.7  49.6  76.2  43.6  847.4
 1777  39.8  44.0  58.2  70.1  91.2 103.9 116.6  70.2  28.7 144.7  55.8  37.1  860.3
 1778  77.5  30.8  45.9  23.0  69.4  74.9 129.4  20.2  61.1 126.0 122.0 107.7  887.9
 1779  15.3  13.5  15.6  67.2  81.0  76.6 149.3  53.5 100.2 106.4  77.5 144.4  900.5
 1780  32.0  36.6  53.8  98.2  50.6  48.3  51.4  24.3 119.7 110.5  62.5  11.1  699.0
 1781  61.0  85.3   5.6  55.6  39.8  71.2  50.3  75.9  86.7   8.8 121.3  72.7  734.2
 1782  99.1  26.8  81.6 139.0 142.4  55.3 131.7 150.8 128.1  71.2  44.4  38.9 1109.3
 1783  95.3  97.0  55.4  15.2  83.9  91.6  57.6  76.7 125.4  50.2  61.5  23.8  833.6
 1784  64.1  44.3  67.9  81.5  59.8 120.1  98.6  74.8  41.3  15.7  90.2  52.7  811.0
 1785  50.3  34.9  18.8  10.1  25.9  45.4  62.0 119.5 105.1  99.3  67.3  80.8  719.4
 1786 118.6  32.0  36.7  34.7  72.8  60.7  36.1  87.1 109.0 108.9  95.2  97.0  888.8
 1787  20.0  65.1  93.7  36.0  49.9  50.0 155.0  62.5  61.6 133.1  81.6 109.1  917.6
 1788  45.9  71.2  39.4  29.8  43.7  59.4  81.6  88.3  84.9  33.8  25.1   8.9  612.0
 1789 105.6  92.4  55.9  51.0  93.1 128.0 128.0  39.6  97.5 130.7  80.2 107.3 1109.3
 1790  72.8  20.9  16.8  54.4  93.6  60.9  94.5  77.9  60.0  56.9 121.9 125.5  856.1
 1791 123.4  70.7  30.7  68.3  37.8  36.1 100.4  79.9  38.6 104.9 150.0  87.3  928.1
 1792  75.5  44.1  85.2  97.7  86.7  84.3 114.1 116.4 151.5  98.6  47.5 115.2 1116.8
 1793  66.6  58.7  74.4  62.5  29.2  38.3  35.1  99.7  97.9  52.9  84.1  77.3  776.7
 1794  34.0  66.0  59.8  70.5  52.1  18.7  69.9  80.7 120.1 128.3 129.4  65.1  894.6
 1795  27.2  75.4  80.2  68.1  15.7 101.8  53.5  82.0  12.9 173.2 106.6  81.3  877.9
 1796 116.2  71.1  17.5  27.2 110.4  57.0 135.2  40.0  62.1  83.9  68.8  73.1  862.5
 1797  69.8  15.3  40.7  68.7 109.5 134.9  79.4 114.8 185.4  68.4  84.7 118.8 1090.4
 1798  72.4  44.6  32.8  56.3  47.6  31.0 149.5  78.8  95.7 116.0  94.7  49.5  868.9
 1799  64.8  94.8  40.5  80.8  58.1  23.7 108.3 192.1 186.8 111.8  98.3  19.0 1079.0
 1800 117.6  20.4  50.7 103.2  75.5  26.7   9.1  55.7 112.2  93.8 145.8  91.0  901.7
 1801  74.1  82.8  84.7  21.6  87.4  30.0 121.9  40.7 114.0  87.4 106.6  96.9  948.1
 1802  37.0  84.8  18.7  33.7  49.3  76.6 126.3  48.7  35.1 108.0  60.3  78.4  756.9
 1803  62.2  55.0  29.9  47.5  59.9  92.2  30.3  44.2  41.6  29.3 113.0 145.8  750.9
 1804 128.8  38.4  83.4  69.9  63.0  28.9  99.9  81.0  11.9 115.7 115.8  46.6  883.3
 1805  79.1  58.5  37.3  67.7  55.8  67.5  71.1  83.6  64.4  51.1  23.1  75.6  734.8
 1806 128.6  54.7  52.0  26.8  44.2  36.4 106.6  86.8  58.8  41.9 117.9 137.5  892.2
 1807  41.5  48.2  20.4  22.9 113.9  45.7  67.6  57.6  87.7  68.2 115.5  56.5  745.7
 1808  36.1  34.8  12.4  93.4  69.4  53.0 100.0  76.0  90.4 115.0  76.2  52.0  808.7
 1809 134.3  88.2  29.3  91.9  57.9  58.5  78.3 130.6 114.1  10.9  55.0  92.3  941.3
 1810  27.8  53.1  77.5  58.6  68.3  41.9 117.4  94.6  45.5  79.6 174.4 134.4  973.1
 1811  54.7  84.3  53.3  57.8 121.9  66.0  94.4  66.1  74.7 111.7  94.3  70.4  949.6
 1812  48.8 115.3 110.7  43.0  87.6  95.4  75.4  54.6  45.8 136.3  85.6  24.4  922.9
 1813  37.4 103.7  29.4  53.6 110.1  53.5  87.0  34.7  64.7 157.3  66.7  30.1  828.2
 1814  62.9  21.8  43.8  88.7  42.8  70.8  83.0  73.6  41.9  98.9  78.0 122.3  828.5
 1815  27.9  44.0  89.8  45.2  76.1  71.5  50.0  82.0  77.4  93.9  51.0  90.5  799.3
 1816  81.4  44.3  56.1  75.8  74.3  77.9 152.0  81.7  79.0 106.3  75.7 102.6 1007.1
 1817  76.0  59.4  52.5   7.9 101.4  92.1 119.7 133.9  26.6  34.0  71.3 107.7  882.5
 1818  98.0  65.8 134.7 135.6  55.9  31.2  50.4  21.0 115.6  75.8 112.0  46.8  942.8
 1819 101.1  95.1  36.8  64.6  84.8  76.9  68.2  44.9  81.6  82.6  71.9  93.9  902.4
